address,lat,lon,total,serious_crime,robbery,other,violent_crime,armed_perps,Assault,injury,intimidation,Extortion,theft_by_home_invasion,safe_cracking,School_Violence,Office_Violence,Store_Opening_Violence,empty_house_robbery,Stealth_Robbery,Illegal_Occupancy,other,Non-invasive_Robbery,Car_Theft,motorcycle_theft,bicycle_theft,property_theft_from_car,Vending_Machine_Theft,construction_site_theft,pick_pocketing,hit_n_run,property_theft,shoplifting,other,other_totals,scam,embezzlement,con_artist_crimes,gambling_crive,other_penal_code_offenses,Year
千代田区丸の内１丁目,35.6785,139.7656,568,3,3,0,68,0,49,14,4,1,2,0,0,0,0,0,0,0,2,398,0,0,16,0,1,0,49,0,31,138,163,97,46,5,17,0,29,2018
千代田区丸の内２丁目,35.6788,139.7644,45,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,1,0,0,0,2,0,2,11,15,13,6,1,2,0,4,2018
千代田区丸の内３丁目,35.6767,139.7659,62,1,1,0,5,0,4,1,0,0,1,0,0,0,0,0,0,0,1,43,0,0,6,0,0,0,2,0,1,27,7,12,3,1,2,0,6,2018
千代田区大手町１丁目,35.6895,139.7626,49,0,0,0,5,0,3,1,0,1,3,1,0,2,0,0,0,0,0,27,0,4,1,2,0,0,2,0,4,5,9,14,4,2,1,0,7,2018
千代田区大手町２丁目,35.6863,139.7675,22,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,2,0,0,0,7,6,2,1,0,0,3,2018
千代田区内幸町１丁目,35.6707,139.7581,24,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,7,12,7,2,0,0,3,2018
千代田区内幸町２丁目,35.6709,139.7536,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,6,3,5,5,0,0,0,0,2018
千代田区有楽町１丁目,35.6732,139.7605,112,0,0,0,13,0,11,2,0,0,1,0,0,0,0,0,0,0,1,82,0,0,3,1,0,0,11,0,4,39,24,16,11,1,0,0,4,2018
千代田区有楽町２丁目,35.6749,139.7634,147,0,0,0,5,0,3,2,0,0,1,0,0,0,1,0,0,0,0,128,0,0,7,2,0,0,1,0,6,84,28,13,5,2,0,0,6,2018
千代田区霞が関１丁目,35.6751,139.7530,22,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,13,5,0,2,0,6,2018
千代田区霞が関２丁目,35.6765,139.7507,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,1,1,2,3,0,0,0,0,3,2018
千代田区霞が関３丁目,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,0,1,0,0,2018
千代田区永田町１丁目,0,0,18,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,3,0,0,0,4,8,0,0,0,0,8,2018
千代田区永田町２丁目,0,0,25,0,0,0,35.67495,0,3,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,6,0,0,1,4,8,4,0,0,0,4,2018
千代田区隼町,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区平河町１丁目, 0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0,2018
千代田区平河町２丁目,0,0,8,0,0,0,0,0,035.67090,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,4,3,0,1,0,0,2018
千代田区麹町１丁目,0,0,14,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,3,5,1,1,0,0,3,2018
千代田区麹町２丁目,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2018
千代田区麹町３丁目,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,2018
千代田区麹町４丁目,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,1,8,6,1,0,0,1,2018
千代田区麹町５丁目,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2018
千代田区麹町６丁目,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,4,1,0,1,0,2,2018
千代田区紀尾井町,0,0,27,0,0,0,4,0,3,1,0,0,3,0,1,0,0,0,0,0,2,16,0,0,2,0,0,0,0,0,1,5,8,4,3,0,0,0,1,2018
千代田区一番町,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,5,3,0,0,0,2,2018
千代田区二番町,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,3,1,1,0,0,1,2018
千代田区三番町,0,0,9,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,4,3,0,0,0,1,2018
千代田区四番町,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2018
千代田区五番町,0,0,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,1,0,0,5,3,5,3,1,0,0,1,2018
千代田区六番町,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,2,1,1,0,2,2018
千代田区皇居外苑,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,2018
千代田区日比谷公園,0,0,15,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,9,2,0,0,0,0,2,2018
千代田区北の丸公園,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,2,3,3,1,1,0,0,1,2018
千代田区九段南１丁目,0,0,10,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,1,0,2,0,0,4,0,0,3,0,1,2018
千代田区九段南２丁目,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区九段南３丁目,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,3,3,3,1,0,1,0,1,2018
千代田区九段南４丁目,0,0,12,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,1,3,2,2,1,0,0,0,1,2018
千代田区九段北１丁目,0,0,17,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,6,0,0,0,3,5,2,2,0,0,1,2018
千代田区九段北２丁目,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区九段北３丁目,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区九段北４丁目,0,0,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2018
千代田区富士見１丁目,0,0,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,4,3,0,0,0,1,2018
千代田区富士見２丁目,0,0,22,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,1,1,8,9,2,1,0,0,6,2018
千代田区飯田橋１丁目,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,2018
千代田区飯田橋２丁目,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区飯田橋３丁目,0,0,9,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,3,0,1,0,0,2,2018
千代田区飯田橋４丁目,0,0,35,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,3,0,1,0,5,14,4,2,0,0,8,2018
千代田区一ツ橋１丁目,0,0,9,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,1,1,1,1,0,0,0,0,2018
千代田区一ツ橋２丁目,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,2018
千代田区神田神保町１丁目,0,0,44,1,0,1,6,0,4,1,0,1,3,0,0,1,2,0,0,0,0,26,0,0,4,0,0,0,0,0,0,15,7,8,3,2,0,0,3,2018
千代田区神田神保町２丁目,0,0,24,0,0,0,6,0,2,4,0,0,1,0,0,0,1,0,0,0,0,12,0,0,4,0,0,0,0,0,0,3,5,5,2,0,0,0,3,2018
千代田区神田神保町３丁目,0,0,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,1,0,0,0,0,0,3,4,5,3,1,0,0,1,2018
千代田区神田三崎町１丁目,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区神田三崎町２丁目,0,0,40,0,0,0,4,0,0,4,0,0,4,0,1,1,2,0,0,0,0,22,0,0,9,1,1,0,1,0,2,2,6,10,4,1,0,0,5,2018
千代田区神田三崎町３丁目,0,0,19,0,0,0,3,0,2,1,0,0,1,0,0,0,1,0,0,0,0,10,0,0,1,1,0,0,0,0,2,1,5,5,0,1,0,0,4,2018
千代田区西神田１丁目,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2018
千代田区西神田２丁目,0,0,10,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,2,2018
千代田区神田猿楽町１丁目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
千代田区神田猿楽町２丁目,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2018
千代田区神田駿河台１丁目,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,2,0,0,0,0,2,2018
千代田区神田駿河台２丁目,0,0,43,0,0,0,13,0,9,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,2,0,2,6,12,5,1,0,0,0,4,2018
千代田区神田駿河台３丁目,0,0,9,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,2,4,3,0,0,0,1,2018
千代田区神田駿河台４丁目,0,0,13,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,1,0,1,1,1,4,1,0,0,0,3,2018
千代田区神田錦町１丁目,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2018
千代田区神田錦町２丁目,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018
千代田区神田錦町３丁目,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2018
千代田区神田小川町１丁目,0,0,11,0,0,0,2,0,1,1,0,0,3,0,0,0,1,0,0,0,2,4,0,0,2,0,0,0,1,0,0,1,0,2,1,0,0,0,1,2018
千代田区神田小川町２丁目,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,10,1,2,1,1,0,0,0,2018
千代田区神田小川町３丁目,0,0,28,1,1,0,3,0,2,1,0,0,2,0,0,1,1,0,0,0,0,13,0,0,5,0,0,0,0,0,1,5,2,9,2,4,0,0,3,2018
千代田区神田美土代町,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2018
千代田区内神田１丁目,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,2,2,0,0,0,0,1,1,0,8,1,1,0,0,6,2018
千代田区内神田２丁目,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1,3,5,3,0,0,0,2,2018
千代田区内神田３丁目,0,0,49,0,0,0,7,0,4,2,0,1,8,0,0,0,8,0,0,0,0,21,0,0,6,0,0,0,0,0,1,2,12,13,5,3,0,0,5,2018
千代田区神田司町２丁目,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,4,1,0,0,0,3,2018
千代田区神田多町２丁目,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,4,1,1,0,0,2,2018
千代田区神田淡路町１丁目,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2018
千代田区神田淡路町２丁目,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,2,6,3,2,0,0,1,2018
千代田区神田須田町１丁目,0,0,39,0,0,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,5,1,0,0,0,0,1,14,3,8,3,2,0,0,3,2018
千代田区神田須田町２丁目,0,0,17,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,4,1,0,0,0,0,0,0,3,7,0,3,0,0,4,2018
千代田区外神田１丁目,0,0,293,0,0,0,26,0,21,4,1,0,2,0,0,0,0,0,0,0,2,219,0,0,18,0,1,0,31,0,43,48,78,46,10,15,2,0,19,2018
千代田区外神田２丁目,0,0,16,0,0,0,2,0,0,0,2,0,4,1,0,0,3,0,0,0,0,7,0,1,1,0,0,0,1,1,0,0,3,3,2,1,0,0,0,2018
千代田区外神田３丁目,0,0,66,0,0,0,6,0,4,1,1,0,0,0,0,0,0,0,0,0,0,40,0,0,5,0,0,0,0,0,1,16,18,20,6,3,4,0,7,2018
千代田区外神田４丁目,0,0,150,0,0,0,2,0,1,0,0,1,4,0,0,0,3,0,0,0,1,122,0,0,5,3,0,0,3,0,5,70,36,22,5,1,4,0,12,2018
千代田区外神田５丁目,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7,0,0,4,1,0,0,1,0,0,0,1,1,0,1,0,0,0,2018
千代田区外神田６丁目,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,11,0,0,1,0,0,1,0,0,1,4,4,8,6,1,0,0,1,2018
千代田区鍛冶町１丁目,0,0,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,1,3,11,4,0,1,0,0,3,2018
千代田区鍛冶町２丁目,0,0,77,0,0,0,6,0,4,2,0,0,8,0,0,1,5,0,0,0,2,51,0,0,9,0,0,0,5,0,7,4,26,12,2,5,0,0,5,2018
千代田区神田鍛冶町３丁目,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2018
千代田区神田紺屋町,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,2018
千代田区神田北乗物町,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区神田富山町,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区神田美倉町,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区岩本町１丁目,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2018
千代田区岩本町２丁目,0,0,15,0,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,2,7,4,1,0,0,2,2018
千代田区岩本町３丁目,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,4,0,0,0,0,1,0,0,4,4,1,2,1,0,0,2018
千代田区神田西福田町,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2018
千代田区神田東松下町,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区神田岩本町,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,1,3,4,1,3,0,0,0,2018
千代田区東神田１丁目,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,3,7,4,2,0,0,1,2018
千代田区東神田２丁目,0,0,15,0,0,0,1,0,0,1,0,0,2,0,0,2,0,0,0,0,0,8,0,0,3,0,0,1,0,0,0,1,3,4,0,1,0,0,3,2018
千代田区東神田３丁目,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区神田和泉町,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,1,2,1,0,1,0,0,0,2018
千代田区神田佐久間町１丁目,0,0,67,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,0,0,0,49,0,0,4,0,0,0,3,0,6,21,15,12,4,2,0,0,6,2018
千代田区神田佐久間町２丁目,0,0,8,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2018
千代田区神田佐久間町３丁目,0,0,15,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,1,0,1,0,4,5,4,0,0,0,1,2018
千代田区神田佐久間町４丁目,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2018
千代田区神田平河町,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2018
千代田区神田松永町,0,0,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,1,0,1,0,3,8,1,2,0,0,5,2018
千代田区神田花岡町,0,0,37,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,8,2,0,0,0,0,1,13,8,3,0,1,0,0,2,2018
千代田区神田佐久間河岸,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
千代田区神田練塀町,0,0,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,1,3,10,4,2,2,0,2,2018
千代田区神田相生町,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,1,0,6,1,0,0,0,0,1,2018
千代田区計,0,0,2885,10,7,3,278,0,192,67,13,6,98,4,3,23,44,0,0,0,24,1839,0,9,241,22,3,7,146,2,142,594,673,660,247,96,45,0,272,2018
