Position,Track Name,Artist,Streams,URL
1,7 rings,Ariana Grande,7251748,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4090785,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
3,MIDDLE CHILD,J. Cole,3976552,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
4,Wow.,Post Malone,3661857,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,Without Me,Halsey,3337695,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"thank u, next",Ariana Grande,3170880,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
7,Calma - Remix,Pedro Cap√≥,3089556,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
8,Dancing With A Stranger (with Normani),Sam Smith,2788174,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2716733,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
10,Sweet but Psycho,Ava Max,2663367,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
11,MIA (feat. Drake),Bad Bunny,2534543,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
12,Adan y Eva,Paulo Londra,2321930,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
13,Happier,Marshmello,2240747,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,High Hopes,Panic! At The Disco,2228404,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
15,Going Bad (feat. Drake),Meek Mill,2192362,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
16,SICKO MODE,Travis Scott,2190931,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
17,Shallow,Lady Gaga,2190385,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
18,Secreto,Anuel Aa,2172706,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
19,ZEZE (feat. Travis Scott & Offset),Kodak Black,1867380,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
20,Saturday Nights,Khalid,1822737,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
21,Look Back At It,A Boogie Wit da Hoodie,1695018,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
22,Mo Bamba,Sheck Wes,1690201,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
23,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1653040,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
24,Giant (with Rag'n'Bone Man),Calvin Harris,1644722,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
25,Eastside (with Halsey & Khalid),benny blanco,1640159,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
26,SAD!,XXXTENTACION,1608133,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
27,Baila Baila Baila,Ozuna,1580050,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
28,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1563106,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
29,when the party's over,Billie Eilish,1559525,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
30,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1559062,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
31,Bohemian Rhapsody - Remastered 2011,Queen,1556530,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
32,Better Now,Post Malone,1555268,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
33,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,1546992,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
34,Desconocidos,Mau y Ricky,1502720,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
35,Be Alright,Dean Lewis,1454944,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
36,Adictiva,Daddy Yankee,1448047,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
37,Girls Like You (feat. Cardi B),Maroon 5,1436066,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
38,Lucid Dreams,Juice WRLD,1435942,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
39,Ella Quiere Beber - Remix,Anuel Aa,1413061,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
40,Moonlight,XXXTENTACION,1379729,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
41,Wake Up in the Sky,Gucci Mane,1363857,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
42,Better,Khalid,1320774,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
43,Leave Me Alone,Flipp Dinero,1315881,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
44,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",Dua Lipa,1315493,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l
45,a lot,21 Savage,1283951,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
46,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1275027,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
47,rockstar (feat. 21 Savage),Post Malone,1270478,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
48,Hope,The Chainsmokers,1270100,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
49,Amanece,Anuel Aa,1267474,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
50,In My Mind,Dynoro,1253281,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
51,i'm so tired...,Lauv,1238642,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
52,lovely,Billie Eilish,1168766,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
53,Taste (feat. Offset),Tyga,1147509,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
54,NI BIEN NI MAL,Bad Bunny,1137255,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
55,Imposible,Luis Fonsi,1102037,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
56,Promises (with Sam Smith),Calvin Harris,1101089,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
57,Youngblood,5 Seconds of Summer,1095873,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
58,imagine,Ariana Grande,1093612,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
59,I Like It,Cardi B,1086394,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
60,Nights Like This (feat. Ty Dolla $ign),Kehlani,1077966,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B
61,no tears left to cry,Ariana Grande,1074859,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
62,God's Plan,Drake,1056263,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
63,Vaina Loca,Ozuna,1043030,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
64,Reggaeton,J Balvin,1036512,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
65,Jocelyn Flores,XXXTENTACION,1036022,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
66,Money,Cardi B,1033006,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
67,Love Someone,Lukas Graham,1028590,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
68,Solo de Mi,Bad Bunny,1023967,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
69,Bad Liar,Imagine Dragons,1020206,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
70,Bubalu,Becky G,999986,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
71,First Off (feat. Travis Scott),Future,990682,https://open.spotify.com/track/3WRIaWsws011vHMd9uzPjG
72,Keanu Reeves,Logic,980653,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK
73,Natural,Imagine Dragons,966108,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
74,Te Vi,Piso 21,965273,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
75,Another One Bites The Dust - Remastered 2011,Queen,939945,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
76,In My Feelings,Drake,939498,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
77,Beautiful (feat. Camila Cabello),Bazzi,939459,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
78,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,938904,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
79,Let Me Down Slowly,Alec Benjamin,937729,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
80,Shape of You,Ed Sheeran,936826,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
81,Ruin My Life,Zara Larsson,935363,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
82,Sauce!,XXXTENTACION,925889,https://open.spotify.com/track/3jq1RpStaB1YGyN3rRZGca
83,2002,Anne-Marie,920728,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
84,Psycho (feat. Ty Dolla $ign),Post Malone,892893,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
85,Don't Stop Me Now - Remastered,Queen,888584,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
86,Believer,Imagine Dragons,887090,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
87,Body (feat. brando),Loud Luxury,881229,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
88,whoa (mind in awe),XXXTENTACION,873201,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
89,Say My Name,David Guetta,869958,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
90,Let You Love Me,Rita Ora,868975,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
91,Nonstop,Drake,868809,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
92,Perfect,Ed Sheeran,860299,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
93,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,860049,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
94,One Kiss (with Dua Lipa),Calvin Harris,848929,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
95,Cuando Te Bes√©,Becky G,848799,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
96,MALA (feat. Anuel Aa),6ix9ine,846836,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
97,BEBE (feat. Anuel Aa),6ix9ine,845410,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
98,Undecided,Chris Brown,837420,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
99,Splashin,Rich The Kid,837414,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
100,breathin,Ariana Grande,836734,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
101,Armed And Dangerous,Juice WRLD,834177,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
102,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,833417,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
103,changes,XXXTENTACION,833150,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
104,Someone You Loved,Lewis Capaldi,829446,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
105,Prinzessa,Capital Bra,826162,https://open.spotify.com/track/7r55d7IhAj5UGKiYbXBwRP
106,idontwannabeyouanymore,Billie Eilish,824872,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
107,I Like Me Better,Lauv,820877,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
108,KIKA (feat. Tory Lanez),6ix9ine,820638,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
109,No Stylist,French Montana,820125,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
110,Kiss and Make Up,Dua Lipa,811974,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
111,YOSEMITE,Travis Scott,806071,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
112,Ya No Tiene Novio,Sebastian Yatra,801194,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
113,Crushed Up,Future,790493,https://open.spotify.com/track/7wcyO1rrH3Ru4t659IjG41
114,Con Calma,Daddy Yankee,786573,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
115,Thotiana,Blueface,781330,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
116,Thunder,Imagine Dragons,781111,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
117,Under Pressure - Remastered,Queen,780028,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
118,Cr√©eme,Karol G,776921,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
119,Te Bot√© - Remix,Nio Garcia,776463,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
120,"Fire On Fire - From ""Watership Down""",Sam Smith,769593,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
121,God is a woman,Ariana Grande,766317,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
122,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,764677,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
123,Falling Down - Bonus Track,Lil Peep,764163,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
124,IDGAF,Dua Lipa,760401,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
125,Shotgun,George Ezra,756684,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
126,Solo (feat. Demi Lovato),Clean Bandit,755883,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
127,Havana,Camila Cabello,755481,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
128,Too Good At Goodbyes,Sam Smith,755306,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
129,BAD!,XXXTENTACION,754188,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
130,Say You Won't Let Go,James Arthur,751520,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
131,Fuck Love (feat. Trippie Redd),XXXTENTACION,743122,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
132,Best Part (feat. Daniel Caesar),H.E.R.,742795,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
133,I Fall Apart,Post Malone,741423,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
134,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,734277,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
135,Always Remember Us This Way,Lady Gaga,720009,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
136,This Feeling,The Chainsmokers,719818,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
137,The Middle,Zedd,715196,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
138,I Love It (& Lil Pump),Kanye West,712679,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
139,Happy Now,Kygo,708157,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
140,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,708140,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3
141,FRIENDS,Marshmello,707712,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
142,Rise,Jonas Blue,705134,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
143,Asesina - Remix,Brytiago,703170,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
144,Noticed,Lil Mosey,702187,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
145,New Rules,Dua Lipa,700012,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
146,Space Cadet (feat. Gunna),Metro Boomin,698276,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
147,Culpables,Karol G,693213,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
148,Somebody To Love - Remastered 2011,Queen,686563,https://open.spotify.com/track/4rDbp1vnvEhieiccprPMdI
149,monster,21 Savage,685098,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
150,Fine China,Future,684210,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
151,Butterfly Doors,Lil Pump,682425,https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3
152,Amigos Con Derechos,Reik,680817,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
153,Atrasadinha - Ao Vivo,Felipe Ara√∫jo,676877,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
154,Back To You - From 13 Reasons Why ÅEÄÅE Season 2 Soundtrack,Selena Gomez,674744,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
155,Look Alive (feat. Drake),BlocBoy JB,666128,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
156,Congratulations,Post Malone,665260,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
157,Electricity (with Dua Lipa),Silk City,664662,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
158,We Will Rock You - Remastered,Queen,653905,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
159,I'm a Mess,Bebe Rexha,653654,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
160,XO TOUR Llif3,Lil Uzi Vert,650986,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
161,Sola,Manuel Turizo,650168,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
162,Hobby Hobby,MERO,648696,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT
163,Trampoline,SHAED,647407,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
164,Speechless (feat. Erika Sirola),Robin Schulz,643458,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
165,Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,640124,https://open.spotify.com/track/1NHlyKgtR4roNylOhidKSv
166,Jenifer,Gabriel Diniz,632939,https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT
167,In My Blood,Shawn Mendes,630821,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
168,Woman Like Me (feat. Nicki Minaj),Little Mix,626885,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
169,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,626817,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
170,bellyache,Billie Eilish,621679,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
171,Africa,Toto,621325,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
172,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,619915,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2
173,Closer,The Chainsmokers,619651,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
174,PPP,Kevin Roldan,619502,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
175,Everybody Dies In Their Nightmares,XXXTENTACION,618657,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
176,Thinking out Loud,Ed Sheeran,612037,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
177,So Close,NOTD,608959,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
178,ocean eyes,Billie Eilish,606218,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
179,SOLO,JENNIE,605700,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
180,Love Lies (with Normani),Khalid,604014,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
181,Ric Flair Drip (& Metro Boomin),Offset,599460,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
182,Jackie Chan,Ti√´sto,596806,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
183,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,596727,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
184,Nuketown (feat. Juice WRLD),Ski Mask The Slump God,595047,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
185,"Thunderclouds (with Sia, Diplo & Labrinth)",Sia,594236,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
186,Happier,Ed Sheeran,592708,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
187,Wonderwall - Remastered,Oasis,592385,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
188,goosebumps,Travis Scott,589076,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
189,Photograph,Ed Sheeran,587635,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
190,Nice For What,Drake,583318,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
191,Derdim Olsun,Reynmen,582106,https://open.spotify.com/track/0m0Ew7RcwZaBS8psxgE00P
192,HUMBLE.,Kendrick Lamar,579145,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
193,Sin Pijama,Becky G,577187,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
194,Look At Me!,XXXTENTACION,574963,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
195,Notifica√ß√£o Preferida - Ao Vivo,Z√© Neto & Cristiano,568188,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz
196,Agora √© Tudo Meu,Dennis DJ,563181,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz
197,I'm Yours,Jason Mraz,562555,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
198,All Girls Are The Same,Juice WRLD,559895,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
199,Young Dumb & Broke,Khalid,558762,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
200,Lucky You (feat. Joyner Lucas),Eminem,557089,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
